filename,classname,errornous_file,duplicate,parent_img,cross_duplicate,duplicate_class
Flying Birds/photo-of-a-bird-2752878.jpg,Flying Birds,0,0,,0,
Flying Birds/low-angle-shot-two-birds-flying-clear-blue-sky-177499950.jpg,Flying Birds,0,0,,0,
Flying Birds/180px-African_fish_eagle_(Haliaeetus_vocifer)_with_fish.jpg,Flying Birds,0,0,,0,
Flying Birds/fb_nationalgeographic_1517960.jpg,Flying Birds,0,0,,0,
Flying Birds/photo-1512830488078-82f3fda58d65.jpg,Flying Birds,0,0,,0,
Flying Birds/3kq0au00gfkN04QGSydQ0AHaE8.jpg,Flying Birds,0,0,,0,
Flying Birds/ANd9GcSZtwihJ-stgy1RUliydAqxfGnULaC8JUHQtg.jpg,Flying Birds,0,0,,0,
Flying Birds/rain-clouds-birds-flying-blue-sky-150614604.jpg,Flying Birds,0,0,,0,
Flying Birds/images318.jpg,Flying Birds,0,0,,0,
Flying Birds/bearded-vulture-flying-1264x843.jpg,Flying Birds,0,0,,0,
Flying Birds/images214.jpg,Flying Birds,0,0,,0,
Flying Birds/25029260305_ea45a76ca6_n.jpg,Flying Birds,0,0,,0,
Flying Birds/43683624114_4cd763406e_n.jpg,Flying Birds,0,0,,0,
Flying Birds/evening-sky-city-two-flying-birds-sunset-176922712.jpg,Flying Birds,0,0,,0,
Flying Birds/40-Fantastic-Pictures-of-Flying-Birds-38.jpg,Flying Birds,0,0,,0,
Flying Birds/images - 2020-07-20T105738.096.jpg,Flying Birds,0,0,,0,
Flying Birds/vertical-shot-birds-flying-blue-sky-172976323.jpg,Flying Birds,0,0,,0,
Flying Birds/images643.jpg,Flying Birds,0,0,,0,
Flying Birds/34326790771_70d09dac84_c.jpg,Flying Birds,0,0,,0,
Flying Birds/ANd9GcTdNp_PvDjIx43oQN6konfHGHGL7pP7m8Iv0A.jpg,Flying Birds,0,0,,0,
Flying Birds/8aa8bd03279814c790fad8baf0867957.jpg,Flying Birds,0,0,,0,
Flying Birds/silhouette-of-bird-above-clouds-755385.jpg,Flying Birds,0,0,,0,
Flying Birds/119d0fdc79d5673aebfc1502702f8ff5.jpg,Flying Birds,0,0,,0,
Flying Birds/silhouettes-birds-flying-warm-lands-black-crows-fly-fall-sky-clouds-background-flock-migratory-flight-175088912.jpg,Flying Birds,0,0,,0,
Flying Birds/B7ap1p6hxUo.jpg,Flying Birds,0,0,,0,
Flying Birds/black-raven-flying-canyon-snake-river-39305783.jpg,Flying Birds,0,0,,0,
Flying Birds/royal-spoonbill-platalea-regia-156036.jpg,Flying Birds,0,0,,0,
Flying Birds/38446258981_d908f369e5_n.jpg,Flying Birds,0,0,,0,
Flying Birds/many-pigeons-birds-flying-cloudy-sky-185161937.jpg,Flying Birds,0,0,,0,
Flying Birds/8020362715_3062f02701_n.jpg,Flying Birds,0,0,,0,
Flying Birds/STpVK4JqISkpI9cpsRyYUQAAAA.jpg,Flying Birds,0,0,,0,
Flying Birds/ANd9GcTBPT0tZWZT1qe896hWTTmxMU1ev_wumDUogg.jpg,Flying Birds,0,0,,0,
Flying Birds/43546277712_48ee8b44f8_w.jpg,Flying Birds,0,0,,0,
Flying Birds/150548484-stork-himantopus-himantopus-flying-at-sunset-colon.jpg,Flying Birds,0,0,,0,
Flying Birds/EagleImage_240.jpg,Flying Birds,0,0,,0,
Flying Birds/Copy of 40-Fantastic-Pictures-of-Flying-Birds-2.jpg,Flying Birds,0,0,,0,
Flying Birds/43258033795_7405e05688_n.jpg,Flying Birds,0,0,,0,
Flying Birds/seagull-flying-bird-fly-662280.jpeg,Flying Birds,0,0,,0,
Flying Birds/images - 2020-07-20T105738.003.jpg,Flying Birds,0,0,,0,
Flying Birds/flock-birds-flying-sea-bright-sky-140982320.jpg,Flying Birds,0,0,,0,
